registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,issn,id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,texto_busca
112965,Sistemas digitais :,"projeto, otimização e HDLS /",Engenharia elétrica.#$&Circuitos elétricos.#$&Projetos.#$&Circuitos integrados digitais.#$&Processadores programáveis.#$&Sistemas digitais.,"Vahid, Frank.",Livro,72,2008.,,"Artmed :#$&Bookman,",9788577801909,,1291989,2017028106,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,621.3 V127s,"sistemas digitais : projeto, otimização e hdls / engenharia elétrica.#$&circuitos elétricos.#$&projetos.#$&circuitos integrados digitais.#$&processadores programáveis.#$&sistemas digitais."
113039,Introdução aos fundamentos da computação :,linguagens e máquinas /,Processamento de linguagem natural (Computação)#$&Computação -#$&Matemática.,"Vieira, Newton Jose.",Livro,49,c2006.,,"Thomson Pioneira,",9788522105083#$&8522105081,,1241625,2016033625,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.423 V658i,introdução aos fundamentos da computação : linguagens e máquinas / processamento de linguagem natural (computação)#$&computação -#$&matemática.
113118,Ecologia :,de indivíduos a ecossistemas /,Ecologia.#$&Ecossistemas.,"Begon, Michael.",Livro,31,2007.,4. ed. -,"Artmed,",9788536308845,,977292,2011069894,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,574 B417e 4.ed.,ecologia : de indivíduos a ecossistemas / ecologia.#$&ecossistemas.
114113,Atenção integral para mulheres e adolescentes em situação de violência doméstica e sexual :,matriz pedagógica para formação de redes /,Violência doméstica.#$&Brasil.#$&Mulheres -#$&Saúde e higiene.#$&Crime sexual.#$&Violência familiar.#$&Saúde pública.#$&Planos e programas de saúde.#$&Saúde do adolescente.#$&Violência contra a mulher.,,Livro,9,c2006.,1. ed. -,"Ministério da Saúde,",8533410182#$&9788533410183 ,,1005938,2012056935,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,364.632-027.553(81) A864 1.ed.,atenção integral para mulheres e adolescentes em situação de violência doméstica e sexual : matriz pedagógica para formação de redes / violência doméstica.#$&brasil.#$&mulheres -#$&saúde e higiene.#$&crime sexual.#$&violência familiar.#$&saúde pública.#$&planos e programas de saúde.#$&saúde do adolescente.#$&violência contra a mulher.
115911,Arquitetura de sistemas com XML:,"conteúdo, processo e apresentação /",XML (Linguagem de marcação de documento).#$&Software -#$&Desenvolvimento.#$&Linguagem (Computação).#$&Computação.,"Daum, Berthold.",Livro,2,2002.,,"Campus,",8535210695 (broch.),,267580,2009002140,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,004.43 D241a,"arquitetura de sistemas com xml: conteúdo, processo e apresentação / xml (linguagem de marcação de documento).#$&software -#$&desenvolvimento.#$&linguagem (computação).#$&computação."
117339,Programação orientada a objetos com Java /,,Programação orientada a objetos (Computação).#$&Java (Linguagem de programção de computador).,"Barnes, David J.",Livro,3,2004.,,"Pearson Prentice Hall,",8576050129 (broch.).,,1255923,2017013337,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 B261p,programação orientada a objetos com java / nan programação orientada a objetos (computação).#$&java (linguagem de programção de computador).
117345,C++ como programar /,,C++ (Linguagem de programação de computador).,"Deitel, Harvey M.,",Livro,5,2001.,3. ed. -,"Bookman,",8573077409 (broch.).,,1295058,2018013973,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 D325c 3.ed.,c++ como programar / nan c++ (linguagem de programação de computador).
117533,Análise de dados categorizados /,,Estatística matemática.#$&Probabilidades.,"Paulino, Carlos Daniel,",Livro,10,2006.,1. ed.-,"E. Blücher,",8521203926 (broch.),,1213981,2016002890,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,519.24 P328a 1.ed.,análise de dados categorizados / nan estatística matemática.#$&probabilidades.
117937,A inovação tecnológica e as dinâmicas locais :,estudo comparativo de APLs de softwares no Nordeste do Brasil /,Programas de computador -#$&Software.#$&Arranjo Produtivo Local (APL).#$&Inovação tecnológica.,"Ferreira, Laércio de Matos.",Livro,17,2008.,,"Banco do Nordeste do Brasil,",9788577910472 (broch.),,983288,2010036048,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.4 F383i,a inovação tecnológica e as dinâmicas locais : estudo comparativo de apls de softwares no nordeste do brasil / programas de computador -#$&software.#$&arranjo produtivo local (apl).#$&inovação tecnológica.
119281,Dicionário multimídia :,"jornalismo, publicidade e informática /",Jornalismo -#$&Dicionários.#$&Comunicação -#$&Dicionários.#$&Publicidade -#$&Dicionários.#$&Informática -#$&Dicionários.,"Mello, José Guimarães",Livro,3,2003.,,"Arte & Ciência,",8574731013,,1162064,2014077362,Obras de Referência,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,070(038) M527d REF,"dicionário multimídia : jornalismo, publicidade e informática / jornalismo -#$&dicionários.#$&comunicação -#$&dicionários.#$&publicidade -#$&dicionários.#$&informática -#$&dicionários."
